instance,strategy,alpha,seed,max_time,initial_obj,final_obj,total_time,iterations,customers_served,final_profit,final_distance,construction_time
50_r102_cap.json,first,0.5,42,120.0,123.20000000000002,146.20000000000002,0.0020568370819091797,1,13,273.0,253.59999999999997,0.00043582916259765625
50_r102_cap.json,first,1.0,42,120.0,-3.599999999999966,19.400000000000034,0.002038240432739258,1,13,273.0,253.59999999999997,0.0004200935363769531
50_r103_cap.json,best,0.01,42,120.0,254.47,329.459,0.015381813049316406,3,14,333.0,354.1,0.0004227161407470703
50_r103_cap.json,best,0.1,42,120.0,231.7,302.1,0.022144794464111328,4,14,333.0,309.0,0.0004200935363769531
50_r103_cap.json,best,0.5,42,120.0,130.5,289.5,0.08402204513549805,10,20,416.0,253.0,0.00042247772216796875
50_r103_cap.json,best,1.0,42,120.0,4.0,163.0,0.0849602222442627,10,20,416.0,253.0,0.0004150867462158203
50_r103_cap.json,first,0.01,42,120.0,254.47,323.91,0.008691787719726562,4,14,327.0,309.0,0.00043082237243652344
50_r103_cap.json,first,0.1,42,120.0,231.7,296.1,0.008352994918823242,4,14,327.0,309.0,0.00042891502380371094
50_r103_cap.json,first,0.5,42,120.0,130.5,161.9,0.009211301803588867,4,13,289.0,254.2,0.0004296302795410156
50_r103_cap.json,first,1.0,42,120.0,4.0,163.0,0.0692284107208252,10,20,416.0,253.0,0.0004322528839111328
50_r104_cap.json,best,0.01,42,120.0,248.051,298.375,0.02757120132446289,5,13,302.0,362.5,0.00047850608825683594
50_r104_cap.json,best,0.1,42,120.0,221.51,265.75,0.026545047760009766,5,13,302.0,362.5,0.0004417896270751953
50_r104_cap.json,best,0.5,42,120.0,103.55000000000001,182.05,0.04034686088562012,7,15,321.0,277.9,0.0004291534423828125
50_r104_cap.json,best,1.0,42,120.0,-43.89999999999998,25.399999999999977,0.01971721649169922,4,13,297.0,271.6,0.00042247772216796875
50_r104_cap.json,first,0.01,42,120.0,248.051,298.253,0.0054912567138671875,4,13,302.0,374.7,0.0004298686981201172
50_r104_cap.json,first,0.1,42,120.0,221.51,264.53,0.007267951965332031,4,13,302.0,374.7,0.0006399154663085938
50_r104_cap.json,first,0.5,42,120.0,103.55000000000001,149.15,0.014789104461669922,8,14,294.0,289.7,0.0004868507385253906
50_r104_cap.json,first,1.0,42,120.0,-43.89999999999998,25.399999999999977,0.010636568069458008,4,13,297.0,271.6,0.0004565715789794922
50_r105_cap.json,best,0.01,42,120.0,152.61,481.115,0.10251569747924805,13,20,484.0,288.5,0.0005376338958740234
50_r105_cap.json,best,0.1,42,120.0,140.1,455.15,0.09681177139282227,13,20,484.0,288.5,0.0006318092346191406
50_r105_cap.json,best,0.5,42,120.0,84.5,405.65,0.12313532829284668,15,22,511.0,210.7,0.0004036426544189453
50_r105_cap.json,best,1.0,42,120.0,15.0,315.6,0.1955561637878418,14,21,495.0,179.4,0.0009427070617675781
50_r105_cap.json,first,0.01,42,120.0,152.61,389.376,0.060821533203125,12,18,392.0,262.4,0.0005612373352050781
50_r105_cap.json,first,0.1,42,120.0,140.1,365.76,0.05639505386352539,12,18,392.0,262.4,0.0005521774291992188
50_r105_cap.json,first,0.5,42,120.0,84.5,390.8,0.20041251182556152,19,26,518.0,254.39999999999998,0.0005402565002441406
50_r105_cap.json,first,1.0,42,120.0,15.0,305.1,0.15433382987976074,17,24,528.0,222.9,0.0005066394805908203
50_r106_cap.json,best,0.01,42,120.0,291.097,334.216,0.016331911087036133,2,15,338.0,378.4,0.0007367134094238281
50_r106_cap.json,best,0.1,42,120.0,264.97,330.92,0.03762078285217285,4,16,362.0,310.79999999999995,0.0007085800170898438
50_r106_cap.json,best,0.5,42,120.0,148.85000000000002,200.85000000000002,0.017629384994506836,2,15,346.0,290.29999999999995,0.0006396770477294922
50_r106_cap.json,best,1.0,42,120.0,3.7000000000000455,55.700000000000045,0.01806783676147461,2,15,346.0,290.29999999999995,0.0007064342498779297
50_r106_cap.json,first,0.01,42,120.0,291.097,346.277,0.008379459381103516,2,15,350.0,372.29999999999995,0.0007162094116210938
50_r106_cap.json,first,0.1,42,120.0,264.97,312.77,0.009011268615722656,2,15,350.0,372.29999999999995,0.0008449554443359375
50_r106_cap.json,first,0.5,42,120.0,148.85000000000002,200.85000000000002,0.011476755142211914,2,15,346.0,290.29999999999995,0.0006337165832519531
50_r106_cap.json,first,1.0,42,120.0,3.7000000000000455,55.700000000000045,0.010866165161132812,2,15,346.0,290.29999999999995,0.0006339550018310547
50_r107_cap.json,best,0.01,42,120.0,261.422,320.847,0.029852867126464844,4,14,324.0,315.3,0.0006392002105712891
50_r107_cap.json,best,0.1,42,120.0,238.22,292.47,0.03499102592468262,4,14,324.0,315.3,0.00092315673828125
50_r107_cap.json,best,0.5,42,120.0,135.1,185.3,0.03280305862426758,4,15,319.0,267.4,0.0006444454193115234
50_r107_cap.json,best,1.0,42,120.0,6.199999999999989,52.60000000000002,0.022455453872680664,3,14,310.0,257.4,0.0006084442138671875
50_r107_cap.json,first,0.01,42,120.0,261.422,320.847,0.008222341537475586,4,14,324.0,315.3,0.0006313323974609375
