initial_obj,final_obj,total_time,iterations,customers_served,final_profit,final_distance,construction_time,path,strategy,alpha,seed,op_set,shuffle,k_mod
214.05,331.35,0.11420035362243652,10,30,630.0,597.3,1762534715.4394176,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,42,"('insert', 'relocate')",True,3
178.89999999999998,178.89999999999998,0.0,0,18,430.0,502.20000000000005,1762534715.5708885,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,42,"('2opt',)",True,1
214.05,214.05,0.0,0,24,550.0,671.9,1762534715.573081,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,42,"('2opt',)",True,3
178.89999999999998,266.45,0.06199383735656738,6,24,530.0,527.1,1762534715.5758178,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,42,"('insert', 'relocate', 'swap')",True,1
214.05,337.15,0.12484312057495117,9,30,640.0,605.7,1762534715.6529717,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,42,"('insert', 'relocate', 'swap')",True,3
178.89999999999998,178.89999999999998,0.0,0,18,430.0,502.20000000000005,1762534715.7979188,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,42,"('swap',)",True,1
214.05,247.04999999999995,0.0063800811767578125,3,24,550.0,605.9000000000001,1762534715.8010461,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,42,"('swap',)",True,3
178.89999999999998,266.45,0.06418943405151367,6,24,530.0,527.1,1762534715.813698,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,123,"('insert', 'relocate', 'swap', '2opt')",True,1
214.05,337.15,0.12604880332946777,9,30,640.0,605.7,1762534715.89303,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,123,"('insert', 'relocate', 'swap', '2opt')",True,3
178.89999999999998,266.45,0.05576920509338379,6,24,530.0,527.1,1762534716.0399709,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,123,"('insert', 'relocate', '2opt')",True,1
214.05,331.35,0.11773180961608887,10,30,630.0,597.3,1762534716.1093621,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,123,"('insert', 'relocate', '2opt')",True,3
178.89999999999998,266.45,0.05530381202697754,6,24,530.0,527.1,1762534716.245391,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,123,"('insert', 'relocate')",True,1
214.05,331.35,0.12052011489868164,10,30,630.0,597.3,1762534716.3135881,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,123,"('insert', 'relocate')",True,3
178.89999999999998,178.89999999999998,0.0,0,18,430.0,502.20000000000005,1762534716.4512656,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,123,"('2opt',)",True,1
214.05,214.05,0.0,0,24,550.0,671.9,1762534716.4537065,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,123,"('2opt',)",True,3
178.89999999999998,266.45,0.06793498992919922,6,24,530.0,527.1,1762534716.455763,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,123,"('insert', 'relocate', 'swap')",True,1
214.05,337.15,0.12696218490600586,9,30,640.0,605.7,1762534716.5391147,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,123,"('insert', 'relocate', 'swap')",True,3
178.89999999999998,178.89999999999998,0.0,0,18,430.0,502.20000000000005,1762534716.6865234,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,123,"('swap',)",True,1
214.05,247.04999999999995,0.00685882568359375,3,24,550.0,605.9000000000001,1762534716.6895447,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,123,"('swap',)",True,3
178.89999999999998,266.45,0.06564497947692871,6,24,530.0,527.1,1762534716.7001987,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,987,"('insert', 'relocate', 'swap', '2opt')",True,1
214.05,337.15,0.1333756446838379,9,30,640.0,605.7,1762534716.7816875,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,987,"('insert', 'relocate', 'swap', '2opt')",True,3
178.89999999999998,266.45,0.0553898811340332,6,24,530.0,527.1,1762534716.9362407,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,987,"('insert', 'relocate', '2opt')",True,1
214.05,331.35,0.11683201789855957,10,30,630.0,597.3,1762534717.0046105,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,987,"('insert', 'relocate', '2opt')",True,3
178.89999999999998,266.45,0.05671334266662598,6,24,530.0,527.1,1762534717.1383524,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,987,"('insert', 'relocate')",True,1
214.05,331.35,0.11475276947021484,10,30,630.0,597.3,1762534717.2085404,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,987,"('insert', 'relocate')",True,3
178.89999999999998,178.89999999999998,0.0,0,18,430.0,502.20000000000005,1762534717.3404207,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,987,"('2opt',)",True,1
214.05,214.05,0.0,0,24,550.0,671.9,1762534717.3434358,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,987,"('2opt',)",True,3
178.89999999999998,266.45,0.061430931091308594,6,24,530.0,527.1,1762534717.34549,C:\Users\nicol\Documents\Master AI in business and industry\Combinatorial optimization\benchmarks_cap_json\50_c101_cap.json,best,0.5,987,"('insert', 'relocate', 'swap')",True,1
