initial_obj,final_obj,total_time,iterations,customers_served,final_profit,final_distance,construction_time,path,strategy,alpha,seed,op_set,shuffle,k_mod
145.75,218.75,0.020818233489990234,6,23,475.0,512.5,1763390092.2107854,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.5,42,"('swap',)",False,3
145.75,739.0999999999999,0.9363617897033691,23,42,1017.0,555.8000000000001,1763390092.2368526,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.5,123,"('insert', 'relocate', 'swap', '2opt')",False,3
145.75,608.8,0.4878828525543213,18,39,929.0,640.4,1763390093.2348714,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.5,123,"('insert', 'relocate', '2opt')",False,3
145.75,218.75,0.01943826675415039,6,23,475.0,512.5,1763390093.7645502,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.5,123,"('swap',)",False,3
145.75,739.0999999999999,0.9074201583862305,23,42,1017.0,555.8000000000001,1763390093.7901752,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.5,987,"('insert', 'relocate', 'swap', '2opt')",False,3
145.75,608.8,0.5088615417480469,18,39,929.0,640.4,1763390094.7591906,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.5,987,"('insert', 'relocate', '2opt')",False,3
145.75,218.75,0.01962757110595703,6,23,475.0,512.5,1763390095.3114038,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,best,0.5,987,"('swap',)",False,3
409.15,586.5,0.31714534759521484,18,32,654.0,675.0,1763390095.3366773,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.1,42,"('insert', 'relocate', 'swap', '2opt')",False,3
409.15,580.49,0.1919236183166504,14,32,654.0,735.1,1763390095.6840537,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.1,42,"('insert', 'relocate', '2opt')",False,3
409.15,423.75,0.018840312957763672,6,23,475.0,512.5,1763390095.9019332,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.1,42,"('swap',)",False,3
409.15,586.5,0.3161332607269287,18,32,654.0,675.0,1763390095.9263196,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.1,123,"('insert', 'relocate', 'swap', '2opt')",False,3
409.15,580.49,0.19806575775146484,14,32,654.0,735.1,1763390096.2741945,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.1,123,"('insert', 'relocate', '2opt')",False,3
409.15,423.75,0.019147396087646484,6,23,475.0,512.5,1763390096.4976094,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.1,123,"('swap',)",False,3
409.15,586.5,0.3520848751068115,18,32,654.0,675.0,1763390096.5220768,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.1,987,"('insert', 'relocate', 'swap', '2opt')",False,3
409.15,580.49,0.19809484481811523,14,32,654.0,735.1,1763390096.9044418,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.1,987,"('insert', 'relocate', '2opt')",False,3
409.15,423.75,0.019133329391479492,6,23,475.0,512.5,1763390097.1288986,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.1,987,"('swap',)",False,3
145.75,311.3,0.1882030963897705,12,32,644.0,665.4,1763390097.1533682,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.5,42,"('insert', 'relocate', 'swap', '2opt')",False,3
145.75,302.65,0.15166497230529785,11,32,644.0,682.7,1763390097.3742287,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.5,42,"('insert', 'relocate', '2opt')",False,3
145.75,218.75,0.019974946975708008,6,23,475.0,512.5,1763390097.551606,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.5,42,"('swap',)",False,3
145.75,311.3,0.18207335472106934,12,32,644.0,665.4,1763390097.5769274,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.5,123,"('insert', 'relocate', 'swap', '2opt')",False,3
145.75,302.65,0.15175580978393555,11,32,644.0,682.7,1763390097.7902858,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.5,123,"('insert', 'relocate', '2opt')",False,3
145.75,218.75,0.019148826599121094,6,23,475.0,512.5,1763390097.9680557,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.5,123,"('swap',)",False,3
145.75,311.3,0.18283367156982422,12,32,644.0,665.4,1763390097.9926617,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.5,987,"('insert', 'relocate', 'swap', '2opt')",False,3
145.75,302.65,0.14821624755859375,11,32,644.0,682.7,1763390098.2066164,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.5,987,"('insert', 'relocate', '2opt')",False,3
145.75,218.75,0.018625736236572266,6,23,475.0,512.5,1763390098.3802285,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/50_r112_cap.json,first,0.5,987,"('swap',)",False,3
416.05,1694.03,3.7613117694854736,45,60,1765.0,709.7,1763390098.4088387,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.1,42,"('insert', 'relocate', 'swap', '2opt')",False,3
416.05,1445.34,1.7990083694458008,32,50,1522.0,766.5999999999999,1763390102.3365233,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.1,42,"('insert', 'relocate', '2opt')",False,3
416.05,431.43,0.012497901916503906,5,20,480.0,485.7,1763390104.2345731,/home/thijs-alens/Documents/manama/applied-AI_academic-perspectives/combinatorial-optimization/project/src/benchmarks_cap_json/rc108_cap.json,best,0.1,42,"('swap',)",False,3
